productName,price,image,category,link,teint,color,type_peau
Démaquillant visage - Lingette hydratante - L'Oréal Paris,"3,90 €",https://www.sagacosmetics.com/18756-large_default/lingettes-demaquillantes-25u.jpg,nettoyant-demaquillant,https://www.sagacosmetics.com/lingettes-demaquillantes-25u.html,,,peau_sensible
Lotion visage - Peau ferme - L'Oréal Paris,"4,20 €",https://www.sagacosmetics.com/17965-large_default/tonique-fleurs-rares-400ml.jpg,nettoyant-demaquillant,https://www.sagacosmetics.com/tonique-fleurs-rares-400ml.html,,,peau_sensible
Eau micellaire purifiante - L'oréal,"3,00 €",https://www.sagacosmetics.com/16941-large_default/eau-micellaire-purifiante-400ml.jpg,nettoyant-demaquillant,https://www.sagacosmetics.com/eau-micellaire-purifiante-400ml.html,,,peau_sensible
Vernis à ongles Color Riche - 662 Moka Chic,"1,90 €",https://www.sagacosmetics.com/9936-large_default/vao-color-riche-a-l-huile-moka-chic.jpg,vernis-a-ongles,https://www.sagacosmetics.com/vao-color-riche-a-l-huile-moka-chic.html#/455-couleur-662_moka_chic,,brun_cuivre,
Vernis à ongles Color Riche Le vernis à lhuile 334 Violet de nuit,"1,90 €",https://www.sagacosmetics.com/9937-large_default/vao-color-riche-a-l-huile-violet-de-nuit.jpg,vernis-a-ongles,https://www.sagacosmetics.com/vao-color-riche-a-l-huile-violet-de-nuit.html#/456-couleur-334_violet_de_nuit,,violet,
Fard à paupières Starlight in Paris - 02 Purple lights - L'Oréal,"1,90 €",https://www.sagacosmetics.com/10300-large_default/fap-xmas-02-purple-lights.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/fap-xmas-02-purple-lights.html#/574-couleur-fap_02_purple_lights,,metallique,
Fard à paupières Infaillible Eye Paint - Vicious Gold,"1,90 €",https://www.sagacosmetics.com/9718-large_default/fard-a-paupieres-infaillible-eye-paint-vicious-gold.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/fard-a-paupieres-infaillible-eye-paint-vicious-gold.html#/416-couleur-201_vicious_gold,,metallique,
La petite palette - 03 Optimist,"5,00 €",https://www.sagacosmetics.com/10305-large_default/palette-fap-la-petite-palette-optimis-nu.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/palette-fap-la-petite-palette-optimis-nu.html#/576-couleur-03_optimist,,bleu,
Fard à paupières mono mat - Color Infaillible - 18 Bleu...,"0,50 €",https://www.sagacosmetics.com/10339-large_default/fard-a-paupieres-infaillible-mono-bleu.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/fard-a-paupieres-infaillible-mono-bleu.html,,bleu,
Fard à paupières Infaillible Eye Paint - Vicious Gold,"1,90 €",https://www.sagacosmetics.com/9718-large_default/fard-a-paupieres-infaillible-eye-paint-vicious-gold.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/fard-a-paupieres-infaillible-eye-paint-vicious-gold.html#/416-couleur-201_vicious_gold,,jaune_or,
La petite palette - 01 Maximalist,"5,00 €",https://www.sagacosmetics.com/10303-large_default/palette-fap-la-petite-palette-maxi-nu.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/palette-fap-la-petite-palette-maxi-nu.html#/575-couleur-01_maximalist,,brun_cuivre,
La petite palette - 03 Optimist,"5,00 €",https://www.sagacosmetics.com/10305-large_default/palette-fap-la-petite-palette-optimis-nu.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/palette-fap-la-petite-palette-optimis-nu.html#/576-couleur-03_optimist,,brun_cuivre,
La petite palette - 02 Nudist l'oréal packaging,"5,00 €",https://www.sagacosmetics.com/12620-large_default/palette-fap-la-petite-palette-nudist-nu.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/palette-fap-la-petite-palette-nudist-nu.html,,beige,
Fard à paupières Starlight in Paris - 02 Purple lights - L'Oréal,"1,90 €",https://www.sagacosmetics.com/10300-large_default/fap-xmas-02-purple-lights.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/fap-xmas-02-purple-lights.html#/574-couleur-fap_02_purple_lights,,violet,
La petite palette - 03 Optimist,"5,00 €",https://www.sagacosmetics.com/10305-large_default/palette-fap-la-petite-palette-optimis-nu.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/palette-fap-la-petite-palette-optimis-nu.html#/576-couleur-03_optimist,,rose,
La petite palette - 02 Nudist l'oréal packaging,"5,00 €",https://www.sagacosmetics.com/12620-large_default/palette-fap-la-petite-palette-nudist-nu.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/palette-fap-la-petite-palette-nudist-nu.html,,rose,
La Palette Gold Color Riche,"6,00 €",https://www.sagacosmetics.com/9458-large_default/la-palette-gold-color-riche.jpg,fard-a-paupieres-palette,https://www.sagacosmetics.com/la-palette-gold-color-riche.html,,multi,
